单词,解释,次数
ample,充足,3538
format,格式,2049
decimal,十进制,2005
adjacent,邻,1280
minimal,最小,1145
segment,分割,868
array,排列,862
consecutive,连续,746
rectangular,长方形,688
clockwise,顺时针,634
inclusive,包括的,574
tile,瓦,552
random,随机,542
intersection,路口,520
configuration,组态,468
software,软件,465
axis,轴,451
minimize,最小化,422
representation,表示,405
denote,表示,363
monster,怪物,340
specification,规范,326
lease,租,314
overlap,交叠,286
notation,符号,242
priority,优先,225
remainder,余,209
directory,目录,198
partition,划分,193
penalty,罚款,192
integral,积分,161
web,卷筒纸,158
finite,有限,155
linear,线性,155
chip,芯片,151
simulate,模拟,151
terminate,终止,151
gear,齿轮,151
invalid,无效,143
virus,病毒,141
gene,基因,139
execution,执行,136
implement,实行,134
triple,三倍,128
client,客户,121
domain,域,121
cylinder,圆筒,118
parameter,参数,115
bonus,奖金,115
guy,家伙,115
junction,连接点,113
longitude,经度,112
category,类别,112
ferry,渡船,111
identification,鉴定,108
rating,评分,104
specifically,特别,103
warehouse,仓库,100
arch,拱,100
bid,出价,97
pasture,牧场,96
sin,罪,95
transaction,交易,93
slot,插槽,93
heir,继承者,90
jury,陪审团,87
token,代币,86
orientation,方向,86
cluster,簇,85
currency,货币,85
species,种类,84
inventory,库存,84
bracket,托架,84
bug,窃听器,83
arc,弧,81
transition,过渡,80
statistics,统计,79
numerical,数字的,79
alien,外侨,73
galaxy,星系,72
magnitude,大小,72
trivial,不重要的,72
void,空虚,71
alternate,备用,71
terrain,地形,70
proposition,主张,69
anniversary,周年,67
merge,合并,67
coincide,重合,66
whereas,而,64
successor,接班人,64
latitude,纬度,63
assumption,假设,63
virtual,虚拟,62
foul,犯规,62
threshold,阈,61
script,脚本,60
symmetry,对称,59
spy,间谍,59
budget,预算,58
classic,经典,58
divine,神圣,57
ambiguous,暧昧,57
relay,中继,57
redundant,冗,57
exclusive,独家,56
declaration,宣言,55
identity,身分,53
marble,大理石,52
replacement,替代,52
legend,传说,51
option,选项,51
situated,位于,51
tick,蜱,50
tribe,部落,49
participant,参加者,49
hose,软管,48
batch,批量,47
shipment,装船,47
chord,弦,44
precede,优于,44
edit,编辑,44
cue,球杆,44
clarity,明晰,43
locomotive,机车,43
pearl,珍珠,43
messenger,信使,43
ingredient,成分,42
mess,食堂,41
duplicate,重复,41
pendulum,摆,41
bunch,束,41
traverse,横过,41
reservation,保留,41
angel,天使,40
discrete,离散的,40
prototype,原型,40
strategic,战略,40
tar,柏油,40
invert,倒置,40
suspicious,可疑,39
mall,购物中心,39
garbage,垃圾,39
poster,海报,38
negligible,微不足道,37
extract,提取,37
degenerate,退化,36
transit,过境,36
landscape,景观,36
skip,跳跃,36
context,上下文,35
fuse,保险丝,35
media,媒体,35
discount,折扣,35
periodic,定期,34
illusion,错觉,34
vulnerable,弱势,34
ally,盟友,34
medal,勋章,34
mechanism,机制,33
creation,创建,33
dual,双,32
surplus,剩余,32
hypothesis,假设,32
presentation,介绍,32
architect,建筑师,31
buffer,缓冲,31
municipal,市政,31
cumulative,累积的,30
composite,综合,30
offset,抵消,30
genetic,遗传,30
eligible,合格,30
revenge,复仇,30
bull,公牛,29
profile,轮廓,29
bearing,轴承,29
accommodate,容纳,29
striking,引人注目,29
descendant,后裔,28
designate,指定,27
enterprise,企业,27
literal,文字,27
consumer,消费者,27
estate,房地产,27
overflow,溢出,27
update,更新,27
diplomatic,外交,26
tow,拖,26
dome,拱顶,26
kit,套件,25
fantastic,奇妙,25
global,全球,25
collide,碰撞,25
combat,战斗,25
melody,旋律,25
naive,幼稚,25
hierarchy,等级制度,24
adhere,附着,24
crucial,关键,24
flush,红晕,24
suicide,自杀,23
fitting,配件,23
manipulate,操作,23
instantaneous,瞬间,23
upgrade,升级,23
integrity,廉正,23
likelihood,可能性,23
horrible,可怕,22
seemingly,似乎,22
amateur,业余,22
swamp,沼泽,22
snap,卡,22
sector,扇形,21
dock,码头,21
basement,地下室,21
silicon,硅,21
recipient,接受者,21
legitimate,合法,21
subordinate,下属,21
reside,居住,21
acute,急性,21
deficit,赤字,20
volunteer,志愿者,20
curb,抑制,20
complement,补充,20
quest,寻求,20
eclipse,蚀,20
clause,条款,20
scared,害怕,20
toss,折腾,20
jail,监狱,20
fort,堡,20
intact,完整,19
patrol,巡逻,19
opaque,不透明,19
stationary,静止的,19
confusion,混乱,19
nightmare,恶梦,19
imperial,帝国,19
fax,传真,19
entity,实体,19
compartment,隔室,19
fake,假,18
erroneous,错误,18
explicit,明确的,18
equator,赤道,18
equilibrium,平衡,18
bronze,青铜,18
trigger,触发,18
plausible,似是而非,18
advertise,广告,18
idiom,成语,18
commodity,商品,17
stall,摊子,17
competitive,竞争的,17
hinge,合页,17
linger,萦绕,17
priest,牧师,17
spiral,螺旋,17
entertainment,娱乐,17
originate,起源,17
compact,紧凑,17
criterion,标准,17
chaos,混沌,17
hearing,听力,17
optimum,最佳,17
tablet,片剂,17
summit,首脑,17
retrieve,取回,16
muddy,浑,16
nominal,公称,16
compatible,兼容,16
enthusiastic,热情,16
correspondence,对应,16
rip,安息,16
aesthetic,审美,16
incredible,难以置信,16
grab,抓,16
dominate,支配,15
chat,聊,15
diet,饮食,15
disastrous,惨重,15
unfold,展开,15
signify,表示,15
subtle,微妙,15
valve,阀,15
corporate,企业,15
qualification,合格,15
polar,极性,15
theme,主题,15
deadly,致命,15
pursuit,追求,15
recipe,食谱,15
clip,夹,15
intricate,错综复杂,14
flaw,缺陷,14
promising,有希望,14
notorious,臭名昭著,14
vicious,恶毒,14
straightforward,直截了当,14
allocate,分配,14
circus,马戏团,14
massive,大规模的,14
validity,合法性,14
metropolitan,宗主,14
correspondent,通信者,14
panic,恐慌,14
agenda,议程,14
oath,誓言,14
facilitate,促进,13
attendance,勤,13
homogeneous,同质,13
conform,符合,13
proceeding,诉讼,13
thermal,热,13
presumably,想必,13
spectator,观众,13
profitable,有利可图,13
survival,生存,13
shuttle,穿梭,13
contribution,贡献,13
beforehand,预先,13
highlight,突出,12
constituent,组分,12
spouse,伴侣,12
expedition,远征,12
shaft,轴,12
anonymous,匿名,12
graze,轻擦,12
bribe,贿赂,12
probe,探测,12
simultaneous,同时,12
bless,保佑,12
meadow,草地,12
tackle,滑车,12
persistent,一贯,12
discrepancy,差异,12
eccentric,偏心,12
eternal,永恒,12
automation,自动化,11
episode,插曲,11
suffice,满足,11
lame,瘸,11
rim,轮缘,11
sculpture,雕塑,11
spectrum,光谱,11
activate,启用,11
violate,违反,11
irrespective,不管,11
academy,学院,11
gallery,画廊,11
notion,概念,11
detective,侦探,11
fist,拳头,11
wallet,钱包,11
endurance,耐力,11
doom,厄运,11
stride,迈,11
rot,腐烂,10
consultant,顾问,10
earnings,收益,10
staircase,楼梯,10
obscure,朦胧,10
ignorance,无知,10
exotic,异国情调,10
peer,窥视,10
descent,降落,10
insight,眼光,10
medieval,中世纪,10
attendant,服务员,10
spatial,空间的,10
enhance,提高,10
gamble,赌,10
gigantic,巨大,10
compile,编,10
humidity,湿度,10
offspring,子孙,10
robust,强大的,10
underlying,底层,10
assert,断言,10
synthesis,合成,10
norm,规范,10
masterpiece,杰作,9
coincidence,巧合,9
hatch,孵化,9
circulation,循环,9
escort,护送,9
tilt,倾斜,9
drawback,退税,9
skeleton,骨架,9
illuminate,照亮,9
comedy,喜剧,9
suitcase,手提箱,9
delegate,代表,9
dispatch,调度,9
feast,盛宴,9
outbreak,暴发,9
clash,冲突,9
predecessor,前任,9
solo,独奏,9
resent,愤恨,9
bankrupt,破产者,9
tactics,策略,9
seam,接缝,9
elegant,优雅,9
closet,壁橱,9
inland,内陆,9
implicit,含蓄,9
romance,浪漫,9
marshal,元帅,9
interact,相互作用,9
exceptional,优秀,9
generalize,概括,9
indefinite,不定,9
alongside,并肩,9
intent,意图,9
resultant,结果,9
alert,警报,9
ingenious,巧妙,9
fixture,夹具,8
customary,习惯性,8
heal,愈合,8
patent,专利,8
reign,统治,8
analytical,分析,8
permissible,可允许的,8
vicinity,附近,8
ambitious,有雄心,8
incidence,发生率,8
controversial,争论的,8
ascend,登,8
summon,召唤,8
fragile,脆弱,8
propagate,传播,8
thesis,论文,8
hemisphere,半球,8
consensus,共识,8
metallic,金属的,8
dizzy,头晕,8
journalist,记者,8
bulletin,公告,8
lunar,太阴,8
sparkle,火花,8
alliance,联盟,8
donate,捐,8
nominate,提名,8
cereal,谷类,7
rally,团结,7
expertise,专门知识,7
yell,叫喊,7
cavity,空穴,7
empirical,经验,7
imperative,势在必行,7
hurricane,飓风,7
nasty,讨厌,7
odor,气味,7
invariably,不变地,7
initiative,倡议,7
tuition,学费,7
sober,清醒,7
dominant,优势,7
flee,逃跑,7
charm,魅力,7
engagement,订婚,7
cellar,地窖,7
destiny,命运,7
theft,盗窃,7
heritage,遗产,7
limp,跛行,7
offensive,进攻,7
versus,与,7
suspension,悬挂,7
periodical,期刊,7
verbal,口头,7
dilemma,困境,7
damn,该死的,7
astronomy,天文学,7
trait,特征,7
comet,彗星,7
antique,古董,7
civilian,平民,7
warrant,保证,7
bureaucracy,官僚,6
scent,香味,6
proximity,接近,6
disclose,透露,6
diploma,文凭,6
intrigue,诡计,6
colonial,殖民,6
tug,拖船,6
complication,并发症,6
impulse,冲动,6
sexual,有性,6
insane,疯,6
whereby,因此,6
historian,历史学家,6
forthcoming,即将到来,6
visualize,想象,6
realistic,实际,6
endeavor,努力,6
electronics,电子产品,6
prone,易于,6
ward,病房,6
